year,gender,0 - 14 years,0 - 4 years,10 - 14 years,15 - 19 years,15 - 24 years,15 years and over,20 - 24 years,25 - 29 years,25 - 44 years,30 - 34 years,35 - 39 years,40 - 44 years,45 - 49 years,45 - 64 years,5 - 9 years,50 - 54 years,55 - 59 years,60 - 64 years,65 - 69 years,65 years and over,70 - 74 years,75 - 79 years,80 - 84 years,85 years and over,All ages
1950,Both sexes,851.2,310.2,262.1,244.0,452.6,2117.8,208.6,201.1,773.6,194.8,199.8,177.9,163.8,574.5,278.9,158.4,130.4,121.9,109.3,317.1,100.4,64.0,30.1,13.3,2969.0
1950,Female,416.6,151.3,128.7,117.4,217.7,1042.4,100.3,100.2,380.2,96.5,98.0,85.5,80.2,283.2,136.6,77.8,64.6,60.6,54.1,161.3,50.9,32.6,15.9,7.8,1459.0
1950,Male,434.6,158.9,133.4,126.6,234.9,1075.4,108.3,100.9,393.4,98.3,101.8,92.4,83.6,291.3,142.3,80.6,65.8,61.3,55.2,155.8,49.5,31.4,14.2,5.5,1510.0
1951,Both sexes,854.8,312.9,260.9,241.2,443.4,2105.8,202.2,198.4,771.2,191.6,200.9,180.3,160.9,574.8,281.0,163.0,128.8,122.1,107.5,316.4,100.1,64.6,30.9,13.3,2960.6
1951,Female,418.4,152.6,128.2,115.4,212.2,1035.6,96.8,98.8,378.9,95.1,98.6,86.3,78.5,283.1,137.6,80.1,63.8,60.7,53.4,161.4,51.0,32.9,16.2,7.8,1454.0
1951,Male,436.4,160.0,132.7,125.7,231.1,1070.2,105.4,99.6,392.3,96.4,102.3,94.0,82.4,291.7,143.5,82.9,65.0,61.3,54.1,155.0,49.1,31.6,14.6,5.5,1506.6
1952,Both sexes,859.6,310.3,264.6,239.7,437.5,2093.3,197.8,192.9,760.3,188.6,197.3,181.5,163.6,578.6,284.7,160.0,133.8,121.2,107.9,316.9,98.8,64.9,31.3,14.0,2952.9
1952,Female,420.8,151.6,130.0,114.7,209.7,1031.2,95.0,96.3,375.1,94.0,97.5,87.3,79.7,284.8,139.2,78.4,66.2,60.5,53.5,161.6,50.4,33.1,16.5,8.1,1452.0
1952,Male,438.8,158.7,134.6,125.0,227.8,1062.1,102.8,96.6,385.2,94.6,99.8,94.2,83.9,293.8,145.5,81.6,67.6,60.7,54.4,155.3,48.4,31.8,14.8,5.9,1500.9
1953,Both sexes,865.3,308.2,268.6,238.6,432.3,2083.7,193.7,187.7,750.6,185.8,194.1,183.0,166.4,583.0,288.5,157.3,138.8,120.5,108.6,317.8,97.7,65.4,31.6,14.5,2949.0
1953,Female,423.4,150.7,131.9,114.1,207.4,1027.7,93.3,93.9,371.8,92.9,96.6,88.4,80.9,286.6,140.8,76.8,68.6,60.3,53.7,161.9,49.9,33.3,16.7,8.3,1451.1
1953,Male,441.9,157.5,136.7,124.5,224.9,1056.0,100.4,93.8,378.8,92.9,97.5,94.6,85.5,296.4,147.7,80.5,70.2,60.2,54.9,155.9,47.8,32.1,14.9,6.2,1497.9
1954,Both sexes,870.0,305.9,272.1,237.1,426.5,2071.2,189.4,182.2,739.7,182.8,190.6,184.1,169.0,586.7,292.0,154.4,143.6,119.7,109.0,318.3,96.3,65.8,32.1,15.1,2941.2
1954,Female,425.6,149.7,133.6,113.3,204.8,1022.6,91.5,91.3,367.8,91.7,95.5,89.3,82.0,288.0,142.3,75.1,70.9,60.0,53.8,162.0,49.2,33.5,17.0,8.5,1448.2
1954,Male,444.4,156.2,138.5,123.8,221.7,1048.6,97.9,90.9,371.9,91.1,95.1,94.8,87.0,298.7,149.7,79.3,72.7,59.7,55.2,156.3,47.1,32.3,15.1,6.6,1493.0
1955,Both sexes,871.0,302.1,274.6,234.7,419.0,2049.9,184.3,176.1,725.8,179.0,186.2,184.5,170.3,587.4,294.3,150.9,147.8,118.4,109.0,317.7,94.7,65.9,32.4,15.7,2920.9
1955,Female,426.8,148.3,135.0,112.3,201.8,1015.0,89.5,88.6,363.0,90.3,94.1,90.0,82.4,288.3,143.5,73.3,73.0,59.6,53.8,161.9,48.5,33.6,17.2,8.8,1441.8
1955,Male,444.2,153.8,139.6,122.4,217.2,1034.9,94.8,87.5,362.8,88.7,92.1,94.5,87.9,299.1,150.8,77.6,74.8,58.8,55.2,155.8,46.2,32.3,15.2,6.9,1479.1
1956,Both sexes,870.8,298.1,276.6,232.1,411.2,2027.7,179.1,169.8,711.6,175.2,181.9,184.7,172.4,588.3,296.1,147.2,151.8,116.9,108.9,316.6,93.0,65.9,32.6,16.2,2898.5
1956,Female,427.6,146.8,136.3,111.3,198.8,1007.8,87.5,85.8,358.2,88.9,92.8,90.7,83.7,289.3,144.5,71.4,75.1,59.1,53.7,161.5,47.8,33.6,17.4,9.0,1435.4
1956,Male,443.2,151.3,140.3,120.8,212.4,1019.9,91.6,84.0,353.4,86.3,89.1,94.0,88.7,299.0,151.6,75.8,76.7,57.8,55.2,155.1,45.2,32.3,15.2,7.2,1463.1
1957,Both sexes,873.1,299.0,279.4,232.7,407.7,2012.2,175.0,164.9,696.7,170.8,179.0,182.0,173.0,591.2,294.7,149.4,148.8,120.0,107.9,316.6,93.1,65.4,33.5,16.7,2885.3
1957,Female,428.0,147.0,137.2,111.8,197.3,1001.2,85.5,83.2,350.8,86.6,91.3,89.7,84.1,290.7,143.8,72.3,73.6,60.7,53.4,162.4,48.0,33.6,18.0,9.4,1429.2
1957,Male,445.1,152.0,142.2,120.9,210.4,1011.0,89.5,81.7,345.9,84.2,87.7,92.3,88.9,300.5,150.9,77.1,75.2,59.3,54.5,154.2,45.1,31.8,15.5,7.3,1456.1
1958,Both sexes,869.5,297.8,280.3,231.8,401.5,1983.2,169.7,159.1,677.4,165.3,175.0,178.0,172.5,589.8,291.4,150.5,144.7,122.1,106.1,314.5,92.5,64.5,34.3,17.1,2852.7
1958,Female,425.6,146.2,137.2,111.6,194.6,988.2,83.0,80.2,341.3,83.8,89.2,88.1,84.0,290.0,142.2,72.6,71.6,61.8,52.8,162.3,47.9,33.4,18.5,9.7,1413.8
1958,Male,443.9,151.6,143.1,120.2,206.9,995.0,86.7,78.9,336.1,81.5,85.8,89.9,88.5,299.8,149.2,77.9,73.1,60.3,53.3,152.2,44.6,31.1,15.8,7.4,1438.9
1959,Both sexes,873.5,299.3,283.6,232.8,398.6,1972.1,165.8,154.8,664.4,161.4,172.5,175.7,173.5,593.9,290.6,153.0,142.1,125.3,105.4,315.2,92.8,64.2,35.2,17.6,2845.6
1959,Female,426.9,146.7,138.4,112.3,193.6,984.1,81.3,77.9,334.9,81.8,87.9,87.3,84.6,292.0,141.8,73.6,70.3,63.5,52.7,163.6,48.2,33.5,19.1,10.1,1411.0
1959,Male,446.6,152.6,145.2,120.5,205.0,988.0,84.5,76.9,329.5,79.6,84.6,88.4,88.9,301.9,148.8,79.4,71.8,61.8,52.7,151.6,44.6,30.7,16.1,7.5,1434.6
1960,Both sexes,875.5,300.1,286.2,233.3,395.4,1956.6,162.1,150.0,649.7,157.0,169.7,173.0,174.0,596.4,289.2,155.1,139.1,128.2,104.4,315.1,92.8,63.8,36.1,18.0,2832.1
1960,Female,427.3,146.9,139.3,112.8,192.2,977.7,79.4,75.4,327.8,79.6,86.5,86.3,85.0,293.3,141.1,74.5,68.8,65.0,52.4,164.4,48.4,33.5,19.7,10.4,1405.0
1960,Male,448.2,153.2,146.9,120.5,203.2,978.9,82.7,74.6,321.9,77.4,83.2,86.7,89.0,303.1,148.1,80.6,70.3,63.2,52.0,150.7,44.4,30.3,16.4,7.6,1427.1
1961,Both sexes,877.3,300.8,288.8,233.8,391.8,1941.1,158.0,145.4,635.3,152.8,166.8,170.3,174.6,598.9,287.7,157.1,136.1,131.1,103.5,315.1,92.8,63.2,37.0,18.5,2818.3
1961,Female,428.5,147.4,140.5,113.5,191.1,973.3,77.6,73.1,321.3,77.5,85.2,85.5,85.6,295.2,140.7,75.4,67.5,66.6,52.3,165.8,48.7,33.5,20.4,10.8,1401.8
1961,Male,448.7,153.4,148.3,120.3,200.8,967.8,80.4,72.3,314.0,75.2,81.6,84.8,89.0,303.8,147.0,81.7,68.6,64.4,51.1,149.3,44.1,29.7,16.7,7.7,1416.5
1962,Both sexes,881.5,303.7,288.0,238.8,402.1,1948.6,163.3,146.1,630.7,151.4,164.3,168.9,172.9,599.3,289.8,158.6,138.2,129.6,105.5,316.5,92.2,63.1,36.8,18.9,2830.1
1962,Female,430.6,148.7,140.2,115.9,196.0,976.7,80.1,73.3,318.3,76.5,83.7,84.8,85.0,295.3,141.7,76.4,68.2,65.7,53.6,167.1,48.5,33.6,20.3,11.1,1407.3
1962,Male,450.9,155.0,147.8,122.9,206.1,971.9,83.2,72.8,312.4,74.9,80.6,84.1,87.9,304.0,148.1,82.2,70.0,63.9,51.9,149.4,43.7,29.5,16.5,7.8,1422.8
1963,Both sexes,888.1,307.4,288.0,244.3,413.5,1961.9,169.2,147.2,627.9,150.6,162.2,167.9,171.8,601.5,292.7,160.5,140.7,128.5,107.9,319.0,92.0,63.2,36.6,19.3,2850.0
1963,Female,434.1,150.5,140.4,118.6,201.5,983.2,82.9,73.7,316.3,75.8,82.4,84.4,84.7,296.4,143.2,77.6,69.1,65.0,55.1,169.0,48.5,33.8,20.2,11.4,1417.3
1963,Male,454.0,156.9,147.6,125.7,212.0,978.7,86.3,73.5,311.6,74.8,79.8,83.5,87.1,305.1,149.5,82.9,71.6,63.5,52.8,150.0,43.5,29.4,16.4,7.9,1432.7
1964,Both sexes,893.0,310.5,287.4,249.6,424.3,1970.8,174.7,148.1,623.9,149.4,159.8,166.6,170.1,602.1,295.1,162.1,142.9,127.0,110.1,320.5,91.4,63.1,36.3,19.6,2863.8
1964,Female,436.7,152.0,140.3,121.2,206.7,987.3,85.5,74.0,313.6,74.8,81.0,83.8,84.1,296.6,144.4,78.6,69.8,64.1,56.5,170.4,48.3,33.9,20.1,11.6,1424.0
1964,Male,456.3,158.5,147.1,128.4,217.6,983.5,89.2,74.1,310.3,74.6,78.8,82.8,86.0,305.5,150.7,83.5,73.1,62.9,53.6,150.1,43.1,29.2,16.2,8.0,1439.8
1965,Both sexes,897.2,313.4,286.6,254.6,434.7,1978.6,180.1,148.8,619.4,148.2,157.2,165.2,168.4,602.6,297.2,163.7,145.0,125.5,112.3,321.9,90.8,63.0,35.9,19.9,2875.8
1965,Female,438.9,153.3,140.1,123.6,211.7,991.1,88.1,74.2,310.7,73.9,79.4,83.2,83.5,296.9,145.5,79.7,70.5,63.2,57.9,171.8,48.1,34.0,19.9,11.9,1430.0
1965,Male,458.3,160.1,146.5,131.0,223.0,987.5,92.0,74.6,308.7,74.3,77.8,82.0,84.9,305.7,151.7,84.0,74.5,62.3,54.4,150.1,42.7,29.0,16.0,8.0,1445.8
1966,Both sexes,900.4,315.9,285.5,259.4,444.6,1983.6,185.3,149.3,613.6,146.6,154.3,163.4,166.5,602.4,299.0,165.0,147.1,123.8,114.2,323.0,90.1,62.8,35.6,20.3,2884.0
1966,Female,441.0,154.6,139.8,126.0,216.6,994.0,90.6,74.3,307.4,72.8,77.8,82.4,82.9,297.0,146.5,80.6,71.2,62.2,59.2,173.1,47.9,34.1,19.8,12.2,1435.0
1966,Male,459.4,161.3,145.6,133.3,228.1,989.6,94.7,75.0,306.2,73.8,76.5,81.0,83.6,305.4,152.4,84.3,75.8,61.6,55.0,149.9,42.2,28.7,15.8,8.1,1449.0
1967,Both sexes,905.3,315.6,287.6,260.7,451.7,1994.4,191.0,153.9,615.7,147.4,153.2,161.2,165.2,602.9,302.1,163.6,148.4,125.7,113.7,324.1,91.7,62.5,35.8,20.4,2899.7
1967,Female,443.2,154.3,140.9,126.8,220.2,999.5,93.4,76.5,307.6,73.0,76.9,81.2,82.4,297.5,148.0,80.2,72.1,62.8,58.8,174.2,49.1,34.0,20.0,12.3,1442.7
1967,Male,462.1,161.3,146.7,133.9,231.5,994.9,97.6,77.4,308.1,74.4,76.3,80.0,82.8,305.4,154.1,83.4,76.3,62.9,54.9,149.9,42.6,28.5,15.8,8.1,1457.0
1968,Both sexes,909.4,314.8,289.6,261.8,458.3,2002.8,196.5,158.1,616.9,148.1,151.9,158.8,163.5,602.7,305.0,162.2,149.6,127.4,113.0,324.9,93.4,62.2,35.8,20.5,2912.2
1968,Female,445.1,153.8,141.9,127.5,223.5,1003.6,96.0,78.3,307.2,73.2,76.0,79.7,81.7,297.9,149.4,79.8,73.0,63.4,58.3,175.0,50.3,33.9,20.1,12.4,1448.7
1968,Male,464.3,161.0,147.7,134.3,234.8,999.2,100.5,79.8,309.7,74.9,75.9,79.1,81.8,304.8,155.6,82.4,76.6,64.0,54.7,149.9,43.1,28.3,15.7,8.1,1463.5
1969,Both sexes,913.3,313.9,291.6,262.9,464.9,2011.9,202.0,162.5,618.1,148.7,150.6,156.3,162.0,602.9,307.8,160.7,150.9,129.3,112.3,326.0,95.0,62.0,36.0,20.7,2925.2
1969,Female,447.0,153.3,143.0,128.2,227.0,1008.2,98.8,80.3,307.1,73.5,74.9,78.4,81.1,298.3,150.7,79.3,73.8,64.1,57.7,175.8,51.5,33.8,20.2,12.6,1455.2
1969,Male,466.3,160.6,148.6,134.7,237.9,1003.7,103.2,82.2,311.0,75.2,75.7,77.9,80.9,304.6,157.1,81.4,77.1,65.2,54.6,150.2,43.5,28.2,15.8,8.1,1470.0
1970,Both sexes,921.2,314.4,294.8,264.9,473.4,2028.7,208.5,167.5,621.7,149.9,149.8,154.5,160.9,605.1,312.0,159.8,152.8,131.6,112.2,328.5,97.0,62.1,36.3,20.9,2949.9
1970,Female,450.6,153.3,144.6,129.4,231.3,1017.4,101.9,82.7,308.2,73.9,74.3,77.3,80.8,300.0,152.7,79.1,75.1,65.0,57.6,177.9,53.0,34.0,20.6,12.7,1468.0
1970,Male,470.6,161.1,150.2,135.5,242.1,1011.3,106.6,84.8,313.5,76.0,75.5,77.2,80.1,305.1,159.3,80.7,77.7,66.6,54.6,150.6,44.0,28.1,15.7,8.2,1481.9
1971,Both sexes,931.2,315.6,298.6,267.7,483.0,2047.1,215.3,173.0,626.2,151.4,149.1,152.7,160.1,608.1,316.9,159.1,154.8,134.1,111.8,329.8,99.0,61.8,36.4,20.9,2978.2
1971,Female,455.4,153.8,146.4,131.0,236.2,1027.1,105.3,85.3,309.7,74.5,73.6,76.3,80.6,302.0,155.1,79.0,76.4,65.9,57.3,179.2,54.4,34.0,20.7,12.8,1482.5
1971,Male,475.8,161.8,152.1,136.8,246.7,1020.0,110.0,87.7,316.5,76.8,75.5,76.4,79.5,306.1,161.8,80.0,78.4,68.1,54.5,150.6,44.6,27.8,15.7,8.1,1495.8
1972,Both sexes,943.1,319.1,303.0,273.5,494.7,2081.6,221.2,180.7,646.0,159.2,152.5,153.6,159.4,607.3,320.9,158.4,154.9,134.6,114.3,333.6,99.0,62.6,36.6,21.1,3024.4
1972,Female,461.0,155.5,148.5,133.8,242.0,1044.3,108.2,89.0,318.9,78.3,75.1,76.5,80.0,301.9,157.0,78.8,76.7,66.4,58.6,181.5,54.2,34.7,21.0,13.0,1505.3
1972,Male,482.0,163.6,154.5,139.7,252.7,1037.0,113.0,91.6,327.0,80.9,77.4,77.1,79.4,305.3,163.9,79.6,78.2,68.1,55.7,152.0,44.7,27.9,15.6,8.1,1519.1
1973,Both sexes,955.5,322.9,307.7,279.5,506.9,2117.4,227.4,188.6,666.6,167.3,156.1,154.6,158.6,606.3,325.0,157.7,154.9,135.1,117.0,337.6,99.0,63.5,36.8,21.3,3073.0
1973,Female,467.0,157.4,150.7,136.7,248.0,1062.4,111.3,92.9,328.6,82.2,76.7,76.8,79.4,301.8,158.9,78.5,76.9,67.0,60.0,184.0,54.1,35.4,21.3,13.2,1529.3
1973,Male,488.6,165.5,157.0,142.8,258.9,1055.0,116.1,95.7,337.9,85.1,79.3,77.8,79.3,304.6,166.1,79.1,78.0,68.2,57.0,153.6,44.9,28.1,15.5,8.1,1543.7
1974,Both sexes,968.8,326.7,312.7,285.8,519.6,2155.0,233.8,196.9,688.1,175.8,159.8,155.6,157.9,605.6,329.4,157.0,155.0,135.7,119.8,341.7,99.0,64.4,37.0,21.5,3123.9
1974,Female,473.3,159.3,153.0,139.8,254.3,1080.9,114.5,97.0,338.6,86.2,78.4,77.0,78.7,301.7,161.0,78.3,77.2,67.5,61.4,186.3,53.9,36.1,21.6,13.3,1554.4
1974,Male,495.5,167.4,159.7,146.0,265.4,1073.8,119.4,99.9,349.3,89.5,81.4,78.5,79.2,303.9,168.4,78.7,77.8,68.2,58.3,155.2,45.1,28.3,15.4,8.1,1569.5
1975,Both sexes,982.7,330.8,317.9,292.4,533.0,2194.6,240.6,205.5,710.4,184.5,163.7,156.7,157.2,605.2,334.0,156.4,155.2,136.4,122.6,346.0,99.1,65.4,37.3,21.6,3177.2
1975,Female,479.8,161.3,155.4,143.0,260.8,1100.5,117.8,101.2,349.0,90.4,80.1,77.3,78.1,301.8,163.1,78.1,77.5,68.1,62.9,188.9,53.8,36.8,21.9,13.5,1580.3
1975,Male,502.9,169.5,162.5,149.4,272.2,1094.1,122.8,104.3,361.4,94.1,83.6,79.4,79.1,303.4,170.9,78.3,77.7,68.3,59.7,157.1,45.3,28.6,15.4,8.1,1597.0
1976,Both sexes,995.4,334.5,322.8,298.7,545.8,2232.3,247.1,214.0,732.4,193.3,167.5,157.6,156.3,603.9,338.1,155.6,155.1,136.9,125.5,350.2,99.1,66.3,37.5,21.8,3227.8
1976,Female,485.7,163.1,157.6,146.0,267.0,1119.2,121.0,105.3,359.2,94.6,81.8,77.5,77.4,301.5,165.0,77.8,77.7,68.6,64.4,191.5,53.6,37.6,22.2,13.7,1605.0
1976,Male,509.7,171.4,165.2,152.7,278.8,1113.1,126.1,108.7,373.2,98.7,85.7,80.1,78.9,302.4,173.1,77.8,77.4,68.3,61.1,158.7,45.5,28.7,15.3,8.1,1622.9
1977,Both sexes,1006.0,337.4,327.0,304.6,557.8,2265.9,253.2,222.3,753.3,201.9,171.0,158.1,154.9,601.1,341.6,154.3,154.8,137.1,128.1,353.7,98.8,67.1,37.7,22.0,3271.9
1977,Female,490.9,164.6,159.6,148.9,272.9,1136.0,124.0,109.4,369.0,98.7,83.4,77.5,76.4,300.4,166.7,77.2,77.8,69.0,65.8,193.7,53.3,38.2,22.5,13.9,1626.9
1977,Male,515.1,172.8,167.4,155.7,284.9,1129.9,129.2,112.9,384.3,103.2,87.6,80.6,78.5,300.7,174.9,77.1,77.0,68.1,62.3,160.0,45.5,28.9,15.2,8.1,1645.0
1978,Both sexes,1016.1,340.1,331.1,310.3,569.5,2298.0,259.2,230.5,773.9,210.4,174.4,158.6,153.5,597.7,344.9,152.9,154.2,137.1,130.7,356.9,98.4,67.9,37.8,22.1,3314.0
1978,Female,495.8,166.0,161.5,151.7,278.8,1152.5,127.1,113.5,378.7,102.8,84.9,77.5,75.4,299.1,168.3,76.6,77.8,69.3,67.1,195.9,53.0,39.0,22.8,14.0,1648.0
1978,Male,520.3,174.1,169.6,158.5,290.7,1145.6,132.2,117.1,395.2,107.6,89.5,81.0,78.1,298.5,176.6,76.2,76.4,67.8,63.5,161.2,45.6,29.0,15.0,8.1,1666.0
1979,Both sexes,1029.9,343.5,336.3,317.4,583.6,2338.3,266.3,239.4,797.4,220.1,178.5,159.4,152.4,595.9,350.1,151.7,154.1,137.7,133.8,361.4,98.3,68.9,38.0,22.5,3368.2
1979,Female,502.9,167.8,164.0,155.1,285.6,1172.1,130.5,117.8,389.5,107.4,86.7,77.6,74.7,298.6,171.1,76.1,77.9,69.9,68.8,198.4,52.5,39.7,23.1,14.3,1674.9
1979,Male,527.0,175.6,172.3,162.3,298.1,1166.2,135.8,121.6,407.9,112.7,91.8,81.8,77.8,297.3,179.1,75.6,76.1,67.8,65.0,163.0,45.8,29.1,14.9,8.1,1693.3
1980,Both sexes,1035.4,347.8,338.3,321.4,592.2,2365.8,270.8,242.4,816.3,225.7,185.8,162.4,152.0,592.5,349.4,150.5,151.7,138.3,133.7,364.8,100.6,68.6,39.2,22.7,3401.0
1980,Female,504.9,169.7,164.7,157.2,290.1,1187.1,132.9,119.6,399.4,110.3,90.5,79.0,74.3,296.9,170.5,75.1,77.0,70.5,69.1,200.7,53.5,39.4,24.0,14.7,1692.0
1980,Male,530.6,178.1,173.6,164.3,302.2,1178.4,137.9,122.8,416.9,115.3,95.4,83.4,77.7,295.5,178.9,75.4,74.6,67.8,64.6,163.8,47.0,29.1,15.1,8.0,1709.0
1981,Both sexes,1043.7,353.0,341.2,326.4,602.6,2399.7,276.1,246.1,837.8,232.0,193.8,165.9,151.9,590.4,349.5,149.7,149.6,139.3,133.9,369.0,103.1,68.5,40.5,23.0,3443.4
1981,Female,508.3,171.9,166.0,159.8,295.4,1205.7,135.7,121.7,410.5,113.7,94.5,80.6,74.1,296.0,170.4,74.4,76.3,71.3,69.6,203.8,54.8,39.3,25.0,15.1,1714.1
1981,Male,535.4,181.0,175.3,166.7,307.1,1193.9,140.4,124.4,427.3,118.3,99.3,85.3,77.8,294.4,179.1,75.3,73.3,68.0,64.3,165.2,48.4,29.2,15.4,7.9,1729.4
1982,Both sexes,1045.4,349.2,344.7,329.1,608.8,2434.6,279.7,249.8,858.8,235.3,201.9,171.8,154.5,593.2,351.5,149.9,148.8,140.0,133.7,373.8,105.2,70.2,41.1,23.6,3480.0
1982,Female,509.1,170.1,167.7,160.9,298.7,1224.9,137.8,123.8,421.7,115.6,98.7,83.6,75.4,297.4,171.3,74.3,75.8,71.9,69.7,207.1,56.1,40.2,25.5,15.6,1734.0
1982,Male,536.3,179.1,177.0,168.2,310.1,1209.7,141.9,126.0,437.1,119.7,103.2,88.2,79.1,295.8,180.2,75.6,73.0,68.1,64.0,166.7,49.1,30.0,15.6,8.0,1746.0
1983,Both sexes,1043.0,343.8,346.9,330.4,612.5,2461.0,282.1,252.6,876.8,237.7,209.3,177.2,156.8,594.4,352.3,149.7,147.6,140.3,133.0,377.3,106.9,71.7,41.6,24.1,3504.0
1983,Female,508.0,167.4,168.9,161.4,300.6,1239.7,139.2,125.6,431.6,117.1,102.6,86.3,76.5,297.8,171.7,74.0,75.0,72.3,69.6,209.7,57.2,41.0,25.8,16.1,1747.7
1983,Male,535.0,176.4,178.0,169.0,311.9,1221.3,142.9,127.0,445.2,120.6,106.7,90.9,80.3,296.6,180.6,75.7,72.6,68.0,63.4,167.6,49.7,30.7,15.8,8.0,1756.3
1984,Both sexes,1040.6,338.5,349.1,332.0,616.6,2488.4,284.6,255.5,895.4,240.3,216.8,182.8,159.0,595.7,353.0,149.6,146.4,140.7,132.2,380.7,108.6,73.1,42.2,24.6,3529.0
1984,Female,506.8,164.8,170.0,162.0,302.8,1255.2,140.8,127.3,441.7,118.7,106.5,89.2,77.6,298.3,172.0,73.8,74.2,72.7,69.4,212.4,58.4,41.7,26.3,16.6,1762.0
1984,Male,533.8,173.7,179.1,170.0,313.8,1233.2,143.8,128.2,453.7,121.6,110.3,93.6,81.4,297.4,181.0,75.8,72.2,68.0,62.8,168.3,50.2,31.4,15.9,8.0,1767.0
1985,Both sexes,1034.3,331.8,350.1,332.0,618.0,2505.7,286.0,257.4,910.4,241.9,223.6,187.5,160.6,594.5,352.4,148.8,144.5,140.6,131.0,382.8,109.9,74.3,42.6,25.0,3540.0
1985,Female,503.8,161.5,170.6,161.8,303.6,1265.2,141.8,128.5,449.9,119.8,110.0,91.6,78.4,297.5,171.7,73.2,73.0,72.9,69.0,214.2,59.3,42.3,26.6,17.0,1769.0
1985,Male,530.5,170.3,179.5,170.2,314.4,1240.5,144.2,128.9,460.5,122.1,113.6,95.9,82.2,297.0,180.7,75.6,71.5,67.7,62.0,168.6,50.6,32.0,16.0,8.0,1771.0
1986,Both sexes,1024.7,324.1,350.0,331.1,617.5,2515.9,286.4,258.4,922.6,242.7,229.7,191.8,161.7,591.4,350.7,147.5,142.2,140.0,129.5,384.4,111.0,75.5,42.9,25.5,3540.6
1986,Female,499.1,157.7,170.6,161.2,303.5,1271.9,142.3,129.4,457.0,120.5,113.3,93.8,79.0,295.8,170.8,72.4,71.7,72.8,68.4,215.6,60.1,42.9,26.8,17.4,1771.0
1986,Male,525.6,166.4,179.4,169.9,314.0,1244.0,144.1,129.1,465.7,122.2,116.4,98.0,82.8,295.7,179.8,75.2,70.5,67.2,61.1,168.7,50.9,32.6,16.1,8.0,1769.7
