year,gender,0 - 14 years,0 - 4 years,10 - 14 years,15 - 19 years,15 - 24 years,15 years and over,20 - 24 years,25 - 29 years,25 - 44 years,30 - 34 years,35 - 39 years,40 - 44 years,45 - 49 years,45 - 64 years,5 - 9 years,50 - 54 years,55 - 59 years,60 - 64 years,65 - 69 years,65 years and over,70 - 74 years,75 - 79 years,80 - 84 years,85 years and over,All ages
1987,Both sexes,1014.4,315.3,347.1,329.4,615.8,2532.1,286.4,256.1,936.0,245.4,231.7,202.8,161.9,592.1,352.0,150.8,140.1,139.3,129.1,388.2,111.1,78.0,43.7,26.3,3546.5
1987,Female,493.9,153.3,169.0,161.2,302.8,1282.3,141.6,128.8,465.2,122.4,114.5,99.5,78.8,295.8,171.6,74.1,70.3,72.6,68.3,218.5,60.7,44.1,27.3,18.1,1776.2
1987,Male,520.5,162.0,178.1,168.1,313.0,1249.6,144.9,127.3,470.7,123.0,117.1,103.3,83.1,296.2,180.4,76.7,69.8,66.6,60.8,169.7,50.4,33.9,16.4,8.2,1770.3
1988,Both sexes,993.9,303.6,340.9,330.0,608.8,2536.9,278.8,251.0,939.3,243.6,235.5,209.2,168.2,595.6,349.3,149.3,141.9,136.2,132.9,393.2,107.7,81.6,43.9,27.1,3530.7
1988,Female,484.1,147.7,166.0,162.5,299.9,1287.8,137.4,127.2,468.8,122.2,116.6,102.8,82.2,297.3,170.4,73.3,70.9,70.9,70.6,221.8,58.9,46.2,27.4,18.7,1771.9
1988,Male,509.7,155.9,174.9,167.5,308.9,1249.0,141.4,123.7,470.3,121.4,118.9,106.3,86.0,298.3,178.9,76.1,70.9,65.3,62.3,171.5,48.8,35.4,16.5,8.5,1758.8
1989,Both sexes,973.5,292.2,339.6,327.2,597.6,2536.0,270.4,246.5,941.2,242.1,236.3,216.3,172.1,599.8,341.6,151.0,141.3,135.4,133.3,397.4,107.5,83.3,45.3,28.0,3509.5
1989,Female,474.0,142.4,165.6,161.8,294.4,1291.5,132.6,126.0,472.6,122.8,117.0,106.8,84.4,299.6,166.0,74.4,70.4,70.4,71.0,224.9,58.8,47.5,28.2,19.4,1765.5
1989,Male,499.4,149.8,174.0,165.4,303.2,1244.6,137.8,120.5,468.5,119.3,119.2,109.5,87.7,300.2,175.6,76.6,70.9,65.0,62.4,172.7,48.7,35.8,17.2,8.6,1744.1
1990,Both sexes,954.6,282.2,343.7,328.3,594.1,2551.3,265.8,246.1,949.1,243.2,237.9,221.9,177.8,608.1,328.7,154.4,141.5,134.4,132.3,400.0,107.8,84.5,47.1,28.3,3505.8
1990,Female,464.8,137.9,167.2,161.0,291.0,1298.2,130.0,125.7,477.3,123.5,118.2,109.9,87.1,303.2,159.7,76.2,70.4,69.5,70.4,226.7,59.0,48.5,29.1,19.7,1763.1
1990,Male,489.7,144.3,176.4,167.3,303.1,1253.0,135.8,120.4,471.8,119.7,119.7,112.0,90.6,304.8,169.0,78.2,71.1,64.9,61.9,173.3,48.9,35.9,18.0,8.6,1742.8
1991,Both sexes,940.6,273.7,348.3,335.0,601.6,2585.1,266.6,246.3,959.0,249.1,237.9,225.7,187.8,621.7,318.5,156.8,142.5,134.6,130.8,402.9,109.3,84.1,49.3,29.4,3525.7
1991,Female,457.7,133.8,169.4,163.6,293.7,1314.6,130.1,125.7,482.6,125.9,119.2,111.8,92.3,309.1,155.2,76.9,70.9,69.0,69.8,229.2,60.1,48.4,30.3,20.5,1772.3
1991,Male,482.8,140.6,178.9,171.4,307.9,1270.6,136.5,120.7,476.4,123.2,118.7,113.9,95.4,312.6,163.3,79.9,71.7,65.6,61.0,173.7,49.2,35.7,19.0,8.9,1753.4
1992,Both sexes,930.9,269.5,350.7,333.3,610.2,2623.7,276.9,247.1,970.7,253.5,241.5,228.6,199.0,637.0,310.7,158.6,144.8,134.6,130.2,405.8,110.3,83.6,51.6,30.1,3554.5
1992,Female,452.8,131.3,170.4,162.5,297.2,1333.4,134.7,126.0,489.1,127.9,121.6,113.6,97.7,315.8,151.1,77.6,72.1,68.4,69.7,231.3,60.7,48.3,31.5,21.1,1786.1
1992,Male,478.1,138.2,180.3,170.7,313.0,1290.5,142.3,121.1,481.6,125.6,120.0,114.9,101.3,321.3,159.6,81.0,72.8,66.2,60.6,174.6,49.6,35.3,20.1,9.0,1768.4
1993,Both sexes,917.0,264.5,349.9,330.5,615.9,2657.2,285.4,246.5,979.0,256.1,244.1,232.3,207.7,654.3,302.6,165.1,145.3,136.2,128.2,408.0,113.3,81.8,53.6,31.1,3574.1
1993,Female,446.0,128.6,170.1,161.0,299.6,1350.0,138.6,125.0,493.6,130.0,123.1,115.5,101.9,324.0,147.3,81.0,72.1,69.0,68.3,232.8,62.6,47.4,32.7,21.8,1796.1
1993,Male,470.9,135.9,179.8,169.4,316.2,1307.1,146.8,121.5,485.4,126.1,121.0,116.8,105.8,330.4,155.2,84.1,73.2,67.3,59.9,175.1,50.8,34.3,20.9,9.2,1778.0
1994,Both sexes,898.5,260.3,344.9,331.0,621.1,2687.2,290.1,247.3,986.5,257.8,247.4,234.0,215.8,671.0,293.4,170.6,147.9,136.7,126.9,408.6,113.9,81.7,54.6,31.5,3585.9
1994,Female,436.4,126.2,167.2,161.8,303.0,1366.4,141.2,124.2,497.4,131.9,124.8,116.5,106.3,332.5,143.0,83.7,73.6,68.9,67.4,233.5,62.9,47.5,33.5,22.2,1802.6
1994,Male,462.4,134.1,177.8,169.2,318.1,1321.1,148.9,123.1,489.1,125.9,122.6,117.5,109.5,338.7,150.5,86.9,74.4,67.9,59.5,175.2,51.0,34.3,21.1,9.3,1783.3
1995,Both sexes,878.0,255.5,335.2,335.2,625.6,2723.4,290.4,252.5,999.7,259.8,249.7,237.7,222.3,686.8,287.3,176.4,151.7,136.4,126.6,411.3,113.3,82.4,55.9,33.1,3601.3
1995,Female,426.5,123.9,162.7,163.8,306.3,1386.5,142.5,126.5,504.2,132.7,126.4,118.6,110.0,340.7,139.9,86.6,75.5,68.6,66.9,235.3,62.9,47.8,34.6,23.1,1812.9
1995,Male,451.3,131.6,172.4,171.4,319.4,1337.1,148.0,126.0,495.4,127.1,123.2,119.1,112.3,346.2,147.3,89.8,76.2,67.9,59.7,176.1,50.4,34.7,21.3,10.0,1788.4
1996,Both sexes,859.4,250.4,326.1,339.5,632.9,2766.7,293.4,259.0,1016.1,260.9,255.7,240.4,225.4,703.8,282.9,186.6,153.8,137.9,126.8,413.9,112.5,84.1,55.8,34.7,3626.1
1996,Female,418.0,121.6,158.7,165.6,309.8,1407.9,144.2,129.7,512.8,133.2,129.5,120.4,111.6,348.7,137.6,91.8,76.0,69.3,66.6,236.6,62.4,48.9,34.7,24.1,1825.9
1996,Male,441.5,128.7,167.4,174.0,323.1,1358.8,149.1,129.4,503.3,127.7,126.1,120.1,113.8,355.1,145.3,94.8,77.8,68.7,60.3,177.3,50.1,35.2,21.1,10.6,1800.2
1997,Both sexes,846.0,250.0,318.0,343.7,640.9,2818.3,297.2,264.4,1037.6,265.1,260.7,247.4,228.2,723.6,277.9,198.3,156.1,140.9,126.7,416.3,112.8,85.0,55.8,35.8,3664.3
1997,Female,411.5,121.3,154.5,167.6,313.4,1433.4,145.9,132.5,523.7,135.2,132.0,124.0,113.4,358.6,135.7,97.6,76.9,70.8,65.9,237.7,62.6,49.4,34.9,24.9,1844.9
1997,Male,434.4,128.7,163.5,176.2,327.5,1384.9,151.3,132.0,513.9,129.9,128.7,123.3,114.8,365.0,142.2,100.8,79.2,70.2,60.9,178.6,50.2,35.6,20.9,11.0,1819.4
1998,Both sexes,835.8,253.6,308.3,343.7,642.8,2867.3,299.1,272.4,1058.8,267.9,267.1,251.3,232.8,745.5,273.8,207.9,162.4,142.3,128.2,420.2,111.7,88.3,54.6,37.4,3703.1
1998,Female,406.5,122.9,150.1,168.0,314.7,1457.7,146.7,135.8,533.4,136.1,135.3,126.3,116.1,370.0,133.6,102.1,80.3,71.5,66.0,239.7,62.0,51.6,34.2,26.0,1864.2
1998,Male,429.3,130.8,158.3,175.7,328.1,1409.5,152.3,136.6,525.4,131.8,131.9,125.1,116.7,375.6,140.3,105.8,82.2,70.9,62.2,180.6,49.8,36.8,20.5,11.4,1838.9
1999,Both sexes,830.6,259.8,300.2,338.5,642.5,2911.1,303.9,279.7,1080.8,271.9,273.5,255.7,234.7,765.8,270.6,217.5,168.2,145.5,128.8,421.9,111.1,89.1,54.6,38.3,3741.6
1999,Female,403.9,125.8,146.2,164.7,315.0,1479.2,150.3,139.3,543.7,138.0,138.3,128.2,117.1,380.2,131.9,107.1,83.0,73.0,65.9,240.3,61.4,52.1,34.2,26.8,1883.0
1999,Male,426.7,134.0,154.1,173.8,327.5,1431.9,153.6,140.5,537.1,133.9,135.2,127.5,117.6,385.7,138.7,110.4,85.2,72.5,63.0,181.6,49.7,37.0,20.4,11.5,1858.6
2000,Both sexes,828.0,266.2,295.1,329.4,641.2,2961.5,311.9,289.4,1107.6,277.5,280.2,260.5,239.1,788.0,266.7,225.0,174.3,149.7,129.3,424.7,111.3,88.9,55.8,39.4,3789.5
2000,Female,402.9,128.9,143.8,160.5,315.0,1503.7,154.5,143.3,556.2,140.0,142.0,130.8,119.3,391.1,130.1,110.8,86.1,74.9,66.0,241.5,61.1,52.0,34.8,27.6,1906.6
2000,Male,425.2,137.2,151.3,168.9,326.3,1457.8,157.4,146.0,551.4,137.5,138.2,129.7,119.8,396.9,136.6,114.1,88.2,74.8,63.3,183.2,50.3,36.9,21.0,11.8,1882.9
2001,Both sexes,827.5,273.2,290.6,320.4,638.0,3019.7,317.6,300.8,1142.1,288.6,285.1,267.6,243.9,809.7,263.7,228.2,185.8,151.7,130.8,429.8,111.8,89.2,57.6,40.4,3847.2
2001,Female,402.6,133.0,141.6,156.2,313.2,1531.5,157.1,149.7,572.6,144.4,143.9,134.6,121.5,401.9,128.2,112.7,91.8,75.8,66.8,243.8,60.8,52.1,35.9,28.2,1934.1
2001,Male,424.9,140.4,149.0,164.3,324.8,1488.2,160.5,151.2,569.5,144.2,141.2,133.0,122.4,407.8,135.5,115.5,94.0,75.9,64.0,186.0,51.1,37.1,21.7,12.2,1913.1
2002,Both sexes,827.4,277.6,285.7,313.2,641.5,3089.8,328.3,312.7,1180.3,304.7,290.9,272.0,249.6,832.0,264.1,230.8,197.3,154.3,133.5,436.0,112.1,89.8,58.9,41.7,3917.2
2002,Female,403.4,135.6,139.6,152.8,315.8,1567.7,163.0,156.6,592.0,152.3,146.4,136.7,124.6,413.1,128.2,114.3,97.5,76.7,68.2,246.8,60.4,52.4,36.6,29.2,1971.0
2002,Male,424.0,142.0,146.1,160.4,325.7,1522.2,165.3,156.1,588.3,152.4,144.5,135.3,125.0,419.0,135.9,116.6,99.8,77.6,65.3,189.2,51.7,37.4,22.3,12.5,1946.2
2003,Both sexes,834.7,284.3,281.7,304.7,638.7,3145.2,334.0,317.4,1209.1,316.1,296.4,279.2,253.7,855.5,268.7,235.1,206.6,160.3,135.0,441.9,113.8,89.5,61.7,41.9,3979.9
2003,Female,407.1,138.9,137.3,148.8,315.8,1596.0,167.0,158.8,606.0,157.9,149.0,140.3,126.8,424.6,130.9,116.6,101.6,79.6,69.0,249.6,60.6,52.3,38.3,29.3,2002.9
2003,Male,427.6,145.4,144.4,155.9,322.9,1549.3,167.0,158.6,603.1,158.2,147.4,138.9,126.9,430.9,137.8,118.5,104.9,80.7,66.0,192.4,53.2,37.3,23.4,12.6,1976.9
2004,Both sexes,843.8,290.7,278.2,298.4,634.5,3201.4,336.1,325.4,1240.0,325.1,303.5,286.0,259.2,877.2,274.9,238.1,213.9,166.0,137.5,449.7,115.7,90.0,63.1,43.4,4045.2
2004,Female,411.2,142.0,135.4,145.7,313.6,1622.1,167.9,162.5,620.5,163.4,151.1,143.5,129.6,435.2,133.8,118.0,105.4,82.2,70.2,252.9,61.1,52.2,39.2,30.2,2033.3
2004,Male,432.7,148.7,142.8,152.7,320.9,1579.3,168.2,162.9,619.6,161.8,152.4,142.5,129.7,442.0,141.2,120.1,108.5,83.8,67.3,196.8,54.6,37.8,23.9,13.2,2011.9
2005,Both sexes,853.5,296.5,276.3,292.8,632.2,3280.4,339.5,345.2,1287.2,335.8,312.1,294.1,265.4,902.0,280.6,243.1,221.4,172.1,140.8,458.9,117.4,91.0,64.0,45.7,4133.8
2005,Female,415.6,144.9,134.4,143.0,312.5,1656.7,169.5,171.1,639.6,167.0,154.4,147.1,132.6,447.6,136.3,120.2,109.4,85.4,71.7,257.0,61.7,52.2,39.7,31.7,2072.0
2005,Male,438.0,151.7,142.0,149.8,319.8,1623.8,170.0,174.1,647.7,168.7,157.8,147.1,132.9,454.4,144.3,122.9,112.0,86.7,69.1,201.9,55.7,38.8,24.3,14.0,2061.8
2006,Both sexes,865.1,302.3,274.2,290.9,638.4,3367.9,347.5,375.2,1343.3,347.9,320.4,299.8,273.8,923.8,288.5,246.4,223.9,179.8,141.2,462.4,117.5,91.4,64.4,47.8,4232.9
2006,Female,421.6,147.7,133.5,142.2,314.2,1694.0,172.0,185.0,663.6,171.5,157.7,149.3,136.4,458.4,140.4,122.3,110.7,89.1,71.4,257.8,61.7,51.8,39.9,33.1,2115.6
2006,Male,443.5,154.7,140.7,148.7,324.2,1673.8,175.5,190.2,679.7,176.4,162.8,150.4,137.4,465.4,148.1,124.1,113.2,90.6,69.9,204.5,55.8,39.7,24.5,14.8,2117.3
2007,Both sexes,884.2,310.5,276.5,291.4,663.1,3491.7,371.7,399.8,1404.5,361.3,335.3,308.1,281.2,953.0,297.2,253.2,227.9,190.7,144.1,471.0,119.5,92.5,65.6,49.4,4375.8
2007,Female,431.0,151.1,134.6,144.0,328.0,1753.6,184.1,197.2,691.2,176.8,164.0,153.2,140.1,473.1,145.4,125.8,112.7,94.5,72.2,261.2,62.6,51.6,40.5,34.2,2184.6
2007,Male,453.2,159.4,141.9,147.5,335.1,1738.1,187.6,202.6,713.3,184.6,171.3,154.9,141.2,479.9,151.9,127.4,115.2,96.1,71.9,209.8,56.9,40.8,25.0,15.2,2191.3
2008,Both sexes,913.4,324.0,283.1,295.6,669.2,3571.9,373.6,408.3,1439.9,369.5,348.6,313.6,288.5,978.8,306.2,258.0,232.6,199.8,149.8,483.7,121.7,94.5,65.9,51.9,4485.1
2008,Female,445.9,158.1,137.9,146.0,333.1,1800.6,187.1,203.6,713.3,182.6,171.0,156.1,143.9,486.6,150.0,128.5,115.3,98.8,75.4,267.6,63.6,52.1,40.5,36.0,2246.5
2008,Male,467.5,165.9,145.3,149.6,336.1,1771.1,186.5,204.7,726.6,186.9,177.6,157.5,144.5,492.2,156.3,129.5,117.3,101.0,74.4,216.2,58.1,42.4,25.3,15.9,2238.6
2009,Both sexes,936.4,335.2,290.5,294.3,648.7,3597.0,354.4,400.6,1448.1,374.5,356.3,316.7,295.6,1001.3,310.7,262.3,235.7,207.7,156.6,498.9,124.6,96.8,66.9,54.0,4533.4
2009,Female,457.2,163.8,141.2,143.9,324.8,1818.9,180.9,202.1,721.8,186.4,176.0,157.3,147.7,498.2,152.2,130.7,117.0,102.8,78.6,274.1,64.8,52.9,40.6,37.2,2276.1
2009,Male,479.2,171.4,149.2,150.3,323.9,1778.1,173.5,198.4,726.3,188.1,180.3,159.5,147.9,503.2,158.5,131.6,118.7,104.9,78.0,224.8,59.8,43.9,26.3,16.8,2257.3
2010,Both sexes,957.7,347.0,296.1,289.4,615.7,3596.9,326.3,381.6,1444.3,381.2,359.7,321.8,300.9,1021.9,314.6,267.4,239.6,214.0,163.5,515.1,127.9,99.1,68.4,56.1,4554.8
2010,Female,467.2,169.4,144.0,141.7,307.9,1825.4,166.2,195.6,725.2,191.4,178.7,159.6,151.1,510.5,153.8,133.7,119.3,106.4,82.0,281.7,66.2,54.0,41.0,38.5,2292.6
2010,Male,490.5,177.6,152.1,147.7,307.8,1771.7,160.1,186.1,719.1,189.8,181.0,162.2,149.8,511.4,160.8,133.7,120.3,107.6,81.5,233.4,61.8,45.1,27.3,17.7,2262.2
2011,Both sexes,976.7,356.0,301.0,281.0,579.6,3598.2,298.6,362.9,1448.7,393.4,363.1,329.3,304.1,1038.3,319.6,273.7,243.4,217.1,172.1,531.6,130.1,101.4,69.8,58.2,4574.9
2011,Female,476.8,174.1,146.6,137.4,287.3,1827.6,149.9,187.8,730.8,198.5,181.2,163.4,152.9,519.5,156.2,137.1,121.6,107.9,86.5,290.0,67.2,55.0,41.5,39.8,2304.4
2011,Male,499.9,182.0,154.5,143.7,292.3,1770.6,148.6,175.1,717.8,194.9,181.9,165.9,151.3,518.9,163.5,136.7,121.8,109.2,85.6,241.6,62.9,46.3,28.3,18.4,2270.5
2012,Both sexes,988.0,358.2,304.5,281.5,566.6,3605.7,285.1,341.5,1435.3,394.0,365.2,334.6,307.7,1053.8,325.3,278.2,248.0,219.9,181.6,550.1,133.1,103.9,71.5,59.8,4593.7
2012,Female,482.6,175.4,148.3,137.2,280.7,1836.0,143.6,178.1,728.4,200.8,182.9,166.6,154.7,528.6,159.0,139.9,124.2,109.8,91.0,298.4,68.5,56.1,41.9,40.8,2318.7
2012,Male,505.4,182.7,156.3,144.3,285.8,1769.6,141.5,163.4,707.0,193.3,182.3,168.0,153.0,525.2,166.4,138.3,123.8,110.1,90.6,251.7,64.6,47.8,29.6,19.0,2275.0
2013,Both sexes,993.9,353.0,307.9,284.4,563.3,3620.8,278.9,321.8,1421.1,391.4,366.8,341.0,310.1,1067.2,333.0,282.8,251.1,223.2,190.0,569.2,138.7,106.4,73.4,60.7,4614.7
2013,Female,486.2,173.1,150.8,138.5,277.3,1842.4,138.8,167.1,722.1,200.6,184.2,170.1,155.7,535.5,162.3,142.2,126.0,111.7,95.1,307.5,71.3,57.2,42.5,41.4,2328.5
2013,Male,507.8,180.0,157.1,145.9,286.0,1778.4,140.1,154.7,699.0,190.7,182.7,170.9,154.4,531.7,170.7,140.6,125.1,111.5,94.9,261.7,67.4,49.2,30.8,19.3,2286.1
2014,Both sexes,997.5,345.4,310.1,290.6,567.2,3647.9,276.6,305.9,1407.3,382.5,371.6,347.4,312.6,1083.9,342.1,289.2,255.7,226.4,197.2,589.5,144.4,109.1,76.1,62.7,4645.4
2014,Female,487.9,169.3,151.6,141.4,278.7,1858.5,137.3,158.7,718.5,197.6,187.8,174.4,156.5,544.3,167.0,145.8,128.5,113.4,98.7,317.0,74.0,58.4,43.5,42.4,2346.4
2014,Male,509.6,176.0,158.4,149.1,288.5,1789.5,139.4,147.2,688.8,184.9,183.8,172.9,156.1,539.6,175.1,143.4,127.2,112.9,98.5,272.5,70.4,50.7,32.6,20.3,2299.0
2015,Both sexes,1001.7,337.9,314.4,296.1,571.6,3686.1,275.5,298.7,1400.6,369.2,379.8,353.0,317.0,1103.6,349.3,295.2,260.6,230.8,203.6,610.3,150.8,112.2,78.8,64.9,4687.8
2015,Female,490.0,165.6,153.6,144.1,279.7,1880.1,135.6,155.0,718.1,192.2,192.9,178.0,158.6,554.9,170.8,149.1,131.3,115.9,102.3,327.4,77.2,59.7,44.7,43.5,2370.1
2015,Male,511.8,172.4,160.9,152.0,291.9,1806.0,139.9,143.7,682.5,177.0,186.9,175.0,158.4,548.7,178.5,146.1,129.3,115.0,101.2,282.8,73.6,52.4,34.1,21.4,2317.7
2016,Both sexes,1005.5,331.4,318.9,301.2,574.7,3734.1,273.5,296.7,1401.5,360.3,388.1,356.5,324.9,1128.0,355.3,298.4,268.2,236.5,208.0,629.8,159.9,114.2,80.5,67.3,4739.6
2016,Female,491.3,161.7,155.7,146.9,281.9,1901.7,135.1,151.5,716.1,187.8,197.5,179.3,162.4,567.0,173.9,150.8,135.1,118.7,104.5,336.6,81.6,60.7,45.5,44.4,2393.1
2016,Male,514.2,169.7,163.1,154.4,292.8,1832.4,138.4,145.2,685.4,172.5,190.6,177.2,162.5,561.0,181.4,147.7,133.1,117.7,103.4,293.2,78.4,53.5,34.9,23.0,2346.5
2017,Both sexes,1010.4,325.0,324.7,309.6,587.0,3800.5,277.4,294.0,1403.3,349.2,396.1,364.0,334.6,1157.9,360.7,304.5,275.2,243.5,212.7,652.4,170.1,117.3,83.2,69.1,4810.9
2017,Female,494.0,158.8,158.4,151.5,288.0,1936.1,136.5,148.7,717.5,182.1,203.0,183.8,167.6,583.0,176.7,153.9,138.9,122.5,107.1,347.6,86.7,62.0,46.8,45.0,2430.1
2017,Male,516.4,166.2,166.2,158.1,299.0,1864.4,140.9,145.2,685.7,167.1,193.2,180.2,167.0,574.9,184.0,150.6,136.3,121.0,105.5,304.8,83.3,55.3,36.4,24.2,2380.8
2018,Both sexes,1014.4,320.0,334.8,318.1,609.3,3870.5,291.2,293.4,1402.8,337.7,400.6,371.0,343.5,1182.0,359.6,308.6,281.6,248.3,217.8,676.4,178.8,122.6,85.5,71.8,4884.9
2018,Female,495.1,156.1,163.2,156.0,298.8,1970.3,142.9,146.8,716.9,175.5,206.7,187.9,172.0,595.2,175.8,155.7,142.3,125.2,110.0,359.4,90.9,64.6,47.8,46.0,2465.4
2018,Male,519.3,163.9,171.6,162.1,310.4,1900.2,148.3,146.6,685.9,162.2,193.9,183.2,171.5,586.9,183.9,153.0,139.2,123.2,107.8,317.0,87.8,57.9,37.7,25.8,2419.5
2019,Both sexes,1015.5,315.0,344.7,322.1,623.8,3942.9,301.7,291.5,1406.0,333.7,399.6,381.2,354.4,1211.7,355.9,313.4,288.1,255.9,221.6,701.4,187.1,130.3,88.2,74.1,4958.5
2019,Female,494.7,153.7,167.7,158.7,306.9,2007.5,148.1,145.0,717.9,172.2,206.6,194.1,177.8,610.3,173.3,157.4,146.0,129.1,112.1,372.3,95.8,68.4,49.1,46.9,2502.2
2019,Male,520.8,161.3,176.9,163.3,316.9,1935.5,153.6,146.5,688.1,161.5,192.9,187.2,176.6,601.4,182.6,156.0,142.1,126.8,109.5,329.1,91.3,61.9,39.1,27.2,2456.3
2020,Both sexes,1013.7,308.7,354.7,327.4,637.9,4016.2,310.5,296.4,1412.0,331.6,389.8,394.3,362.6,1240.2,350.2,319.9,296.0,261.6,228.7,726.1,192.5,138.5,90.8,75.6,5029.9
2020,Female,493.7,150.0,173.2,161.0,313.1,2044.4,152.1,148.3,721.1,170.3,201.7,200.8,182.6,626.0,170.6,160.5,150.2,132.7,115.8,384.2,98.2,72.6,50.1,47.6,2538.1
2020,Male,519.9,158.8,181.6,166.4,324.8,1971.8,158.4,148.1,690.9,161.2,188.1,193.5,180.1,614.2,179.6,159.4,145.8,128.9,113.0,341.9,94.3,65.9,40.7,28.0,2491.8
2021,Both sexes,1007.6,300.9,364.0,329.0,640.4,4067.1,311.4,294.8,1411.9,330.5,383.0,403.6,368.2,1267.4,342.7,329.5,301.2,268.5,234.1,747.4,196.2,147.2,92.4,77.5,5074.7
2021,Female,491.9,146.8,178.5,161.4,314.4,2068.7,153.1,147.3,721.6,169.4,198.7,206.1,185.1,637.8,166.7,164.7,152.2,135.8,118.6,395.0,99.8,76.8,50.8,49.0,2560.6
2021,Male,515.7,154.1,185.6,167.6,325.9,1998.3,158.3,147.5,690.4,161.0,184.3,197.5,183.1,629.6,176.0,164.8,149.0,132.7,115.5,352.5,96.5,70.4,41.6,28.6,2514.0
2022,Both sexes,1014.3,295.8,374.9,337.8,649.7,4169.7,311.9,299.1,1434.2,334.5,385.8,414.7,376.0,1304.5,343.6,342.9,309.7,275.8,240.5,781.3,204.7,155.0,96.8,84.4,5184.0
2022,Female,495.3,144.2,183.4,165.1,319.1,2126.7,153.9,150.0,737.3,173.1,201.5,212.7,189.5,657.3,167.7,171.4,156.5,139.8,121.9,413.1,104.5,80.9,53.0,52.8,2622.0
2022,Male,519.0,151.6,191.5,172.6,330.6,2043.0,158.0,149.1,696.9,161.4,184.3,202.1,186.5,647.2,175.9,171.4,153.2,136.0,118.6,368.2,100.2,74.1,43.7,31.6,2562.0
2023,Both sexes,1011.6,293.8,379.2,349.5,667.2,4270.0,317.8,308.5,1457.7,337.0,384.5,427.7,382.7,1338.7,338.6,354.5,316.3,285.2,244.8,806.3,210.5,162.1,101.8,87.1,5281.6
2023,Female,495.1,144.6,185.3,170.7,327.2,2180.3,156.5,153.8,749.6,173.6,201.2,221.0,194.0,677.2,165.2,178.0,160.2,145.0,124.6,426.4,107.9,84.3,55.6,53.9,2675.4
2023,Male,516.5,149.2,193.9,178.7,340.0,2089.6,161.3,154.7,708.2,163.4,183.3,206.7,188.7,661.5,173.4,176.4,156.1,140.3,120.2,379.9,102.6,77.8,46.1,33.1,2606.2
