year,0 - 14 years_emigrants,15 - 24 years_emigrants,25 - 44 years_emigrants,45 - 64 years_emigrants,65 years and over_emigrants,All ages_emigrants,0 - 14 years_immigrants,15 - 24 years_immigrants,25 - 44 years_immigrants,45 - 64 years_immigrants,65 years and over_immigrants,All ages_immigrants,0 - 14 years_migration,15 - 24 years_migration,25 - 44 years_migration,45 - 64 years_migration,65 years and over_migration,All ages_migration
1987,5.5,48.0,23.6,3.4,0.0,40.2,6.2,10.2,12.2,3.6,2.2,17.2,0.7000000000000005,-37.8,-11.400000000000002,0.2,2.2,-23.0
1988,16.6,62.5,36.6,6.4,0.0,61.1,6.0,10.8,14.4,4.300000000000001,2.8,19.2,-10.600000000000001,-51.7,-22.2,-2.1,2.8,-41.9
1989,15.6,74.0,43.8,7.5,0.0,70.6,8.8,15.4,21.1,4.4,3.7,26.7,-6.799999999999999,-58.6,-22.7,-3.0999999999999996,3.7,-43.9
1990,13.4,61.6,33.8,3.8,0.0,56.3,10.4,20.2,27.9,5.4,2.7,33.3,-3.0,-41.400000000000006,-5.899999999999998,1.6,2.7,-22.9
1991,9.2,39.8,21.0,0.8,0.0,35.3,10.5,18.6,29.1,5.0,3.4,33.3,1.3000000000000012,-21.2,8.1,4.2,3.4,-2.0
1992,1.4,45.0,17.6,2.4,0.4,33.4,12.4,25.0,33.0,8.2,2.8,40.7,11.0,-20.0,15.4,5.799999999999999,2.4,7.4
1993,2.2,47.2,18.2,2.4,0.4,35.1,11.1,20.5,28.9,7.2,1.7000000000000002,34.7,8.9,-26.7,10.700000000000001,4.800000000000001,1.3,-0.4
1994,2.6999999999999997,49.2,16.4,1.2,0.0,34.8,8.8,19.4,24.2,6.1,1.7000000000000002,30.1,6.1000000000000005,-29.8,7.8,4.9,1.7000000000000002,-4.7
1995,2.4,45.2,16.9,1.6,0.0,33.1,10.6,16.0,29.2,5.2,1.4,31.2,8.2,-29.200000000000003,12.299999999999999,3.6,1.4,-1.9
1996,1.9,42.9,16.2,1.4,0.0,31.2,13.3,21.8,33.699999999999996,7.1000000000000005,2.4,39.2,11.399999999999999,-21.099999999999998,17.5,5.700000000000001,2.4,8.0
1997,0.6,38.8,11.2,0.0,0.0,25.3,12.8,27.5,36.4,9.4,3.0,44.5,12.2,-11.299999999999999,25.2,9.4,3.0,19.2
1998,3.2,42.1,11.5,0.4,0.0,28.6,15.0,24.8,39.8,8.6,3.6,46.0,11.8,-17.3,28.299999999999997,8.2,3.6,17.4
1999,0.0,46.2,15.2,0.6,1.1,31.5,14.0,30.6,43.1,8.2,1.8,48.9,14.0,-15.600000000000001,27.9,7.6,0.6999999999999997,17.3
2000,0.0,42.8,9.2,0.2,1.2,26.6,14.3,33.7,46.8,8.0,2.4,52.6,14.3,-9.099999999999998,37.6,7.8,1.2,26.0
2001,0.0,42.4,8.8,0.0,1.4,26.2,15.8,32.8,59.0,8.6,1.6,59.0,15.8,-9.600000000000001,50.2,8.6,0.1999999999999999,32.8
2002,4.9,37.5,6.2,0.2,2.4,51.2,14.0,39.6,70.4,8.4,1.6,133.8,9.1,2.1,64.2,8.2,-0.8,82.6
2003,1.8,34.0,17.6,2.6,2.5,58.6,14.6,35.1,57.5,10.2,2.7,120.0,12.8,1.1,39.9,7.6,0.2,61.5
2004,3.0,28.2,18.4,2.7,0.8,53.0,12.3,37.4,57.6,8.4,1.4,117.0,9.4,9.2,39.2,5.7,0.6,64.0
2005,4.300000000000001,28.6,21.2,2.9,1.8,58.9,16.0,48.699999999999996,89.6,12.3,2.4,169.2,11.8,20.0,68.30000000000001,9.3,0.6,110.2
2006,4.4,31.8,28.2,4.2,3.4,72.0,23.0,63.2,114.4,12.2,2.8,215.6,18.700000000000003,31.3,86.0,8.1,-0.6,143.6
2007,2.8,36.4,42.4,6.1,5.0,92.6,22.8,122.8,131.6,20.2,4.8,302.2,20.1,86.2,89.2,14.2,-0.19999999999999996,209.5
2008,3.2,35.6,48.0,5.7,6.0,98.4,27.8,100.0,77.5,14.4,7.1,226.9,24.6,64.6,29.6,8.7,1.2,128.6
2009,4.8,55.8,75.0,6.1,2.4,144.0,9.0,74.4,52.8,6.6,4.6,147.3,4.2,18.5,-22.2,0.6,2.1,3.2
2010,4.1,53.4,73.0,5.8,2.2,138.5,3.7,34.6,37.5,4.1,3.7,83.6,-0.3999999999999999,-18.8,-35.4,-1.7999999999999998,1.6,-54.9
2011,10.5,69.0,62.5,12.3,6.8,161.29999999999998,12.2,29.2,53.8,8.6,2.7,106.5,1.7,-39.9,-8.8,-3.7,-4.2,-54.7
2012,19.1,52.0,77.0,13.6,4.2,166.0,13.299999999999999,33.8,52.8,9.0,5.7,114.5,-5.8,-18.2,-24.3,-4.6,1.5,-51.4
2013,22.1,47.8,74.2,15.2,3.4,162.6,15.2,40.0,55.4,8.8,6.0,125.4,-7.0,-7.7,-18.8,-6.4,2.6,-37.3
2014,20.4,43.6,74.8,6.6,4.5,149.9,13.0,43.6,63.2,6.4,6.8,133.0,-7.3,0.0,-11.7,-0.19999999999999996,2.2,-16.9
2015,22.9,34.5,70.9,8.6,3.0,139.9,19.6,36.7,80.0,8.3,7.2,151.8,-3.2,2.2,9.0,-0.39999999999999997,4.2,11.8
2016,20.4,36.6,62.6,9.2,3.4,132.3,19.8,36.4,89.4,14.2,4.8,164.7,-0.6000000000000001,-0.20000000000000018,27.0,5.0,1.4,32.3
2017,12.0,29.7,62.5,5.6,2.4,112.2,20.8,39.0,98.4,23.1,9.2,190.6,8.9,9.299999999999999,36.0,17.4,6.8,78.3
2018,10.5,23.6,53.4,13.1,2.9,103.2,23.2,49.3,91.1,19.0,9.3,192.0,12.8,25.9,37.8,5.9,6.5,88.8
2019,10.7,34.4,51.7,6.9,2.7,106.2,22.2,44.4,97.7,21.6,8.5,194.2,11.4,10.2,46.0,14.8,5.6,88.0
2020,13.299999999999999,30.8,52.0,4.9,0.9,101.8,21.2,44.0,102.0,18.6,5.300000000000001,191.2,8.0,13.3,50.0,13.8,4.5,89.4
2021,9.4,38.2,39.6,11.2,6.4,104.6,15.0,27.4,78.7,20.7,6.300000000000001,148.2,5.6,-10.7,39.2,9.6,0.0,43.6
2022,6.8,42.1,43.1,14.8,5.2,112.2,32.8,41.8,107.5,25.4,8.2,215.6,26.0,-0.30000000000000004,64.4,10.6,2.8,103.4
2023,11.0,39.7,64.69999999999999,10.5,2.0,127.9,43.7,47.5,150.1,33.8,8.0,283.2,32.7,7.8,85.4,23.4,5.9,155.4
