"Statistic Label","Year","Sex","Citizenship","UNIT","VALUE"
"Estimated Population","2006","Both sexes","All Countries","Thousand","4232.9"
"Estimated Population","2006","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","43.8"
"Estimated Population","2006","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","132.5"
"Estimated Population","2006","Both sexes","United Kingdom","Thousand","115.5"
"Estimated Population","2006","Both sexes","Ireland","Thousand","3802.4"
"Estimated Population","2006","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","138.8"
"Estimated Population","2006","Male","All Countries","Thousand","2117.3"
"Estimated Population","2006","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","21.3"
"Estimated Population","2006","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","79.9"
"Estimated Population","2006","Male","United Kingdom","Thousand","57.8"
"Estimated Population","2006","Male","Ireland","Thousand","1887.4"
"Estimated Population","2006","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","70.9"
"Estimated Population","2006","Female","All Countries","Thousand","2115.6"
"Estimated Population","2006","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","22.5"
"Estimated Population","2006","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","52.6"
"Estimated Population","2006","Female","United Kingdom","Thousand","57.7"
"Estimated Population","2006","Female","Ireland","Thousand","1914.9"
"Estimated Population","2006","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","67.9"
"Estimated Population","2007","Both sexes","All Countries","Thousand","4375.8"
"Estimated Population","2007","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","47"
"Estimated Population","2007","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","207.6"
"Estimated Population","2007","Both sexes","United Kingdom","Thousand","115.5"
"Estimated Population","2007","Both sexes","Ireland","Thousand","3856.2"
"Estimated Population","2007","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","149.6"
"Estimated Population","2007","Male","All Countries","Thousand","2191.3"
"Estimated Population","2007","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","21.8"
"Estimated Population","2007","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","120.3"
"Estimated Population","2007","Male","United Kingdom","Thousand","57.6"
"Estimated Population","2007","Male","Ireland","Thousand","1915.7"
"Estimated Population","2007","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","75.9"
"Estimated Population","2007","Female","All Countries","Thousand","2184.6"
"Estimated Population","2007","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","25.2"
"Estimated Population","2007","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","87.4"
"Estimated Population","2007","Female","United Kingdom","Thousand","57.9"
"Estimated Population","2007","Female","Ireland","Thousand","1940.5"
"Estimated Population","2007","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","73.7"
"Estimated Population","2008","Both sexes","All Countries","Thousand","4485.1"
"Estimated Population","2008","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","50.8"
"Estimated Population","2008","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","247.7"
"Estimated Population","2008","Both sexes","United Kingdom","Thousand","117.9"
"Estimated Population","2008","Both sexes","Ireland","Thousand","3909.5"
"Estimated Population","2008","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","159.2"
"Estimated Population","2008","Male","All Countries","Thousand","2238.6"
"Estimated Population","2008","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","23.7"
"Estimated Population","2008","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","133.9"
"Estimated Population","2008","Male","United Kingdom","Thousand","58.9"
"Estimated Population","2008","Male","Ireland","Thousand","1942.3"
"Estimated Population","2008","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","79.8"
"Estimated Population","2008","Female","All Countries","Thousand","2246.5"
"Estimated Population","2008","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","27.1"
"Estimated Population","2008","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","113.8"
"Estimated Population","2008","Female","United Kingdom","Thousand","59"
"Estimated Population","2008","Female","Ireland","Thousand","1967.2"
"Estimated Population","2008","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","79.5"
"Estimated Population","2009","Both sexes","All Countries","Thousand","4533.4"
"Estimated Population","2009","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","55.3"
"Estimated Population","2009","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","240.8"
"Estimated Population","2009","Both sexes","United Kingdom","Thousand","117.1"
"Estimated Population","2009","Both sexes","Ireland","Thousand","3958"
"Estimated Population","2009","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","162.2"
"Estimated Population","2009","Male","All Countries","Thousand","2257.3"
"Estimated Population","2009","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","25.5"
"Estimated Population","2009","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","124.8"
"Estimated Population","2009","Male","United Kingdom","Thousand","58.3"
"Estimated Population","2009","Male","Ireland","Thousand","1966.4"
"Estimated Population","2009","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","82.3"
"Estimated Population","2009","Female","All Countries","Thousand","2276.1"
"Estimated Population","2009","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","29.7"
"Estimated Population","2009","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","116"
"Estimated Population","2009","Female","United Kingdom","Thousand","58.8"
"Estimated Population","2009","Female","Ireland","Thousand","1991.6"
"Estimated Population","2009","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","79.9"
"Estimated Population","2010","Both sexes","All Countries","Thousand","4554.8"
"Estimated Population","2010","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","52.4"
"Estimated Population","2010","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","233"
"Estimated Population","2010","Both sexes","United Kingdom","Thousand","115.9"
"Estimated Population","2010","Both sexes","Ireland","Thousand","3994.7"
"Estimated Population","2010","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","158.7"
"Estimated Population","2010","Male","All Countries","Thousand","2262.2"
"Estimated Population","2010","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","24"
"Estimated Population","2010","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","117.6"
"Estimated Population","2010","Male","United Kingdom","Thousand","57.7"
"Estimated Population","2010","Male","Ireland","Thousand","1983.3"
"Estimated Population","2010","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","79.6"
"Estimated Population","2010","Female","All Countries","Thousand","2292.6"
"Estimated Population","2010","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","28.4"
"Estimated Population","2010","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","115.5"
"Estimated Population","2010","Female","United Kingdom","Thousand","58.2"
"Estimated Population","2010","Female","Ireland","Thousand","2011.4"
"Estimated Population","2010","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","79.1"
"Estimated Population","2011","Both sexes","All Countries","Thousand","4574.9"
"Estimated Population","2011","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","49.4"
"Estimated Population","2011","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","231.5"
"Estimated Population","2011","Both sexes","United Kingdom","Thousand","114.9"
"Estimated Population","2011","Both sexes","Ireland","Thousand","4017.9"
"Estimated Population","2011","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","161.2"
"Estimated Population","2011","Male","All Countries","Thousand","2270.5"
"Estimated Population","2011","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","23.9"
"Estimated Population","2011","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","116.5"
"Estimated Population","2011","Male","United Kingdom","Thousand","57.8"
"Estimated Population","2011","Male","Ireland","Thousand","1991.9"
"Estimated Population","2011","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","80.4"
"Estimated Population","2011","Female","All Countries","Thousand","2304.4"
"Estimated Population","2011","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","25.5"
"Estimated Population","2011","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","114.9"
"Estimated Population","2011","Female","United Kingdom","Thousand","57.1"
"Estimated Population","2011","Female","Ireland","Thousand","2026"
"Estimated Population","2011","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","80.8"
"Estimated Population","2012","Both sexes","All Countries","Thousand","4593.7"
"Estimated Population","2012","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","51"
"Estimated Population","2012","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","232.7"
"Estimated Population","2012","Both sexes","United Kingdom","Thousand","111.8"
"Estimated Population","2012","Both sexes","Ireland","Thousand","4046.6"
"Estimated Population","2012","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","151.6"
"Estimated Population","2012","Male","All Countries","Thousand","2275"
"Estimated Population","2012","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","24.3"
"Estimated Population","2012","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","116.8"
"Estimated Population","2012","Male","United Kingdom","Thousand","56.1"
"Estimated Population","2012","Male","Ireland","Thousand","2003.2"
"Estimated Population","2012","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","74.7"
"Estimated Population","2012","Female","All Countries","Thousand","2318.7"
"Estimated Population","2012","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","26.7"
"Estimated Population","2012","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","115.9"
"Estimated Population","2012","Female","United Kingdom","Thousand","55.7"
"Estimated Population","2012","Female","Ireland","Thousand","2043.4"
"Estimated Population","2012","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","76.9"
"Estimated Population","2013","Both sexes","All Countries","Thousand","4614.7"
"Estimated Population","2013","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","53.2"
"Estimated Population","2013","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","234.5"
"Estimated Population","2013","Both sexes","United Kingdom","Thousand","109.2"
"Estimated Population","2013","Both sexes","Ireland","Thousand","4080.7"
"Estimated Population","2013","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","137.1"
"Estimated Population","2013","Male","All Countries","Thousand","2286.1"
"Estimated Population","2013","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","25.8"
"Estimated Population","2013","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","117.5"
"Estimated Population","2013","Male","United Kingdom","Thousand","55"
"Estimated Population","2013","Male","Ireland","Thousand","2019.4"
"Estimated Population","2013","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","68.4"
"Estimated Population","2013","Female","All Countries","Thousand","2328.5"
"Estimated Population","2013","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","27.4"
"Estimated Population","2013","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","117"
"Estimated Population","2013","Female","United Kingdom","Thousand","54.1"
"Estimated Population","2013","Female","Ireland","Thousand","2061.3"
"Estimated Population","2013","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","68.7"
"Estimated Population","2014","Both sexes","All Countries","Thousand","4645.4"
"Estimated Population","2014","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","56.9"
"Estimated Population","2014","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","242.8"
"Estimated Population","2014","Both sexes","United Kingdom","Thousand","107.1"
"Estimated Population","2014","Both sexes","Ireland","Thousand","4117.6"
"Estimated Population","2014","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","121"
"Estimated Population","2014","Male","All Countries","Thousand","2299"
"Estimated Population","2014","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","27.6"
"Estimated Population","2014","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","121.5"
"Estimated Population","2014","Male","United Kingdom","Thousand","54.1"
"Estimated Population","2014","Male","Ireland","Thousand","2036"
"Estimated Population","2014","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","59.8"
"Estimated Population","2014","Female","All Countries","Thousand","2346.4"
"Estimated Population","2014","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","29.3"
"Estimated Population","2014","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","121.3"
"Estimated Population","2014","Female","United Kingdom","Thousand","53"
"Estimated Population","2014","Female","Ireland","Thousand","2081.6"
"Estimated Population","2014","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","61.2"
"Estimated Population","2015","Both sexes","All Countries","Thousand","4687.8"
"Estimated Population","2015","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","60.3"
"Estimated Population","2015","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","247.8"
"Estimated Population","2015","Both sexes","United Kingdom","Thousand","105.7"
"Estimated Population","2015","Both sexes","Ireland","Thousand","4152.9"
"Estimated Population","2015","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","121.1"
"Estimated Population","2015","Male","All Countries","Thousand","2317.7"
"Estimated Population","2015","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","28.4"
"Estimated Population","2015","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","123.5"
"Estimated Population","2015","Male","United Kingdom","Thousand","53.6"
"Estimated Population","2015","Male","Ireland","Thousand","2052.1"
"Estimated Population","2015","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","60.1"
"Estimated Population","2015","Female","All Countries","Thousand","2370.1"
"Estimated Population","2015","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","31.9"
"Estimated Population","2015","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","124.2"
"Estimated Population","2015","Female","United Kingdom","Thousand","52.2"
"Estimated Population","2015","Female","Ireland","Thousand","2100.8"
"Estimated Population","2015","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","61"
"Estimated Population","2016","Both sexes","All Countries","Thousand","4739.6"
"Estimated Population","2016","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","64.9"
"Estimated Population","2016","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","249.4"
"Estimated Population","2016","Both sexes","United Kingdom","Thousand","105.7"
"Estimated Population","2016","Both sexes","Ireland","Thousand","4189.1"
"Estimated Population","2016","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","130.4"
"Estimated Population","2016","Male","All Countries","Thousand","2346.5"
"Estimated Population","2016","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","31.3"
"Estimated Population","2016","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","123.5"
"Estimated Population","2016","Male","United Kingdom","Thousand","54.2"
"Estimated Population","2016","Male","Ireland","Thousand","2071.4"
"Estimated Population","2016","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","66.1"
"Estimated Population","2016","Female","All Countries","Thousand","2393.1"
"Estimated Population","2016","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","33.5"
"Estimated Population","2016","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","125.9"
"Estimated Population","2016","Female","United Kingdom","Thousand","51.6"
"Estimated Population","2016","Female","Ireland","Thousand","2117.7"
"Estimated Population","2016","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","64.4"
"Estimated Population","2017","Both sexes","All Countries","Thousand","4810.9"
"Estimated Population","2017","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","69.5"
"Estimated Population","2017","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","246.9"
"Estimated Population","2017","Both sexes","United Kingdom","Thousand","103.3"
"Estimated Population","2017","Both sexes","Ireland","Thousand","4245.3"
"Estimated Population","2017","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","145.9"
"Estimated Population","2017","Male","All Countries","Thousand","2380.8"
"Estimated Population","2017","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","33.2"
"Estimated Population","2017","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","122.1"
"Estimated Population","2017","Male","United Kingdom","Thousand","53.1"
"Estimated Population","2017","Male","Ireland","Thousand","2099.2"
"Estimated Population","2017","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","73.2"
"Estimated Population","2017","Female","All Countries","Thousand","2430.1"
"Estimated Population","2017","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","36.4"
"Estimated Population","2017","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","124.7"
"Estimated Population","2017","Female","United Kingdom","Thousand","50.3"
"Estimated Population","2017","Female","Ireland","Thousand","2146"
"Estimated Population","2017","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","72.7"
"Estimated Population","2018","Both sexes","All Countries","Thousand","4884.9"
"Estimated Population","2018","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","74.3"
"Estimated Population","2018","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","247.9"
"Estimated Population","2018","Both sexes","United Kingdom","Thousand","103"
"Estimated Population","2018","Both sexes","Ireland","Thousand","4292.3"
"Estimated Population","2018","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","167.5"
"Estimated Population","2018","Male","All Countries","Thousand","2419.5"
"Estimated Population","2018","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","35.5"
"Estimated Population","2018","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","122.5"
"Estimated Population","2018","Male","United Kingdom","Thousand","53.3"
"Estimated Population","2018","Male","Ireland","Thousand","2123.5"
"Estimated Population","2018","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","84.8"
"Estimated Population","2018","Female","All Countries","Thousand","2465.4"
"Estimated Population","2018","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","38.8"
"Estimated Population","2018","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","125.4"
"Estimated Population","2018","Female","United Kingdom","Thousand","49.7"
"Estimated Population","2018","Female","Ireland","Thousand","2168.8"
"Estimated Population","2018","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","82.7"
"Estimated Population","2019","Both sexes","All Countries","Thousand","4958.5"
"Estimated Population","2019","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","82.3"
"Estimated Population","2019","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","245.2"
"Estimated Population","2019","Both sexes","United Kingdom","Thousand","102.7"
"Estimated Population","2019","Both sexes","Ireland","Thousand","4336.5"
"Estimated Population","2019","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","191.7"
"Estimated Population","2019","Male","All Countries","Thousand","2456.3"
"Estimated Population","2019","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","39.4"
"Estimated Population","2019","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","121"
"Estimated Population","2019","Male","United Kingdom","Thousand","53.5"
"Estimated Population","2019","Male","Ireland","Thousand","2145.2"
"Estimated Population","2019","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","97.3"
"Estimated Population","2019","Female","All Countries","Thousand","2502.2"
"Estimated Population","2019","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","42.9"
"Estimated Population","2019","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","124.2"
"Estimated Population","2019","Female","United Kingdom","Thousand","49.2"
"Estimated Population","2019","Female","Ireland","Thousand","2191.3"
"Estimated Population","2019","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","94.5"
"Estimated Population","2020","Both sexes","All Countries","Thousand","5029.9"
"Estimated Population","2020","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","86.5"
"Estimated Population","2020","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","244.9"
"Estimated Population","2020","Both sexes","United Kingdom","Thousand","100"
"Estimated Population","2020","Both sexes","Ireland","Thousand","4384.8"
"Estimated Population","2020","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","213.6"
"Estimated Population","2020","Male","All Countries","Thousand","2491.8"
"Estimated Population","2020","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","41.5"
"Estimated Population","2020","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","121.8"
"Estimated Population","2020","Male","United Kingdom","Thousand","51.8"
"Estimated Population","2020","Male","Ireland","Thousand","2169.2"
"Estimated Population","2020","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","107.4"
"Estimated Population","2020","Female","All Countries","Thousand","2538.1"
"Estimated Population","2020","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","45"
"Estimated Population","2020","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","123.1"
"Estimated Population","2020","Female","United Kingdom","Thousand","48.2"
"Estimated Population","2020","Female","Ireland","Thousand","2215.6"
"Estimated Population","2020","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","106.2"
"Estimated Population","2021","Both sexes","All Countries","Thousand","5074.7"
"Estimated Population","2021","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","86.7"
"Estimated Population","2021","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","240"
"Estimated Population","2021","Both sexes","United Kingdom","Thousand","97.7"
"Estimated Population","2021","Both sexes","Ireland","Thousand","4430.8"
"Estimated Population","2021","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","219.4"
"Estimated Population","2021","Male","All Countries","Thousand","2514"
"Estimated Population","2021","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","42.1"
"Estimated Population","2021","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","118.6"
"Estimated Population","2021","Male","United Kingdom","Thousand","53.6"
"Estimated Population","2021","Male","Ireland","Thousand","2194.5"
"Estimated Population","2021","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","105.2"
"Estimated Population","2021","Female","All Countries","Thousand","2560.6"
"Estimated Population","2021","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","44.6"
"Estimated Population","2021","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","121.4"
"Estimated Population","2021","Female","United Kingdom","Thousand","44.1"
"Estimated Population","2021","Female","Ireland","Thousand","2236.3"
"Estimated Population","2021","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","114.2"
"Estimated Population","2022","Both sexes","All Countries","Thousand","5184"
"Estimated Population","2022","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","90.6"
"Estimated Population","2022","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","240.5"
"Estimated Population","2022","Both sexes","United Kingdom","Thousand","89.3"
"Estimated Population","2022","Both sexes","Ireland","Thousand","4495.4"
"Estimated Population","2022","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","268.1"
"Estimated Population","2022","Male","All Countries","Thousand","2562"
"Estimated Population","2022","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","43.9"
"Estimated Population","2022","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","119.9"
"Estimated Population","2022","Male","United Kingdom","Thousand","48.1"
"Estimated Population","2022","Male","Ireland","Thousand","2222"
"Estimated Population","2022","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","128"
"Estimated Population","2022","Female","All Countries","Thousand","2622"
"Estimated Population","2022","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","46.6"
"Estimated Population","2022","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","120.6"
"Estimated Population","2022","Female","United Kingdom","Thousand","41.2"
"Estimated Population","2022","Female","Ireland","Thousand","2273.5"
"Estimated Population","2022","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","140.1"
"Estimated Population","2023","Both sexes","All Countries","Thousand","5281.6"
"Estimated Population","2023","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","98.7"
"Estimated Population","2023","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","243.2"
"Estimated Population","2023","Both sexes","United Kingdom","Thousand","88.1"
"Estimated Population","2023","Both sexes","Ireland","Thousand","4524.6"
"Estimated Population","2023","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","327"
"Estimated Population","2023","Male","All Countries","Thousand","2606.2"
"Estimated Population","2023","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","48.7"
"Estimated Population","2023","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","120.6"
"Estimated Population","2023","Male","United Kingdom","Thousand","47.5"
"Estimated Population","2023","Male","Ireland","Thousand","2237.1"
"Estimated Population","2023","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","152.3"
"Estimated Population","2023","Female","All Countries","Thousand","2675.4"
"Estimated Population","2023","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","50"
"Estimated Population","2023","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","122.6"
"Estimated Population","2023","Female","United Kingdom","Thousand","40.5"
"Estimated Population","2023","Female","Ireland","Thousand","2287.5"
"Estimated Population","2023","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","174.7"
